foodid,foodname,ingredients
148,Papadum,"Lentils, black pepper, vegetable oil"
149,Paravannam,"Raw rice,  jaggery, milk"
150,Payasam,"Rice, cashew nuts, milk, raisins, sugar"
151,Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds"
152,Pesarattu,"Green moong beans, rice flour"
153,Poriyal,"Chana dal, urad dal, beans, coconut, mustard"
154,Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves"
155,Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water"
156,Puttu,"Brown rice flour, sugar, grated coconut"
157,Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind"
158,Sandige,"Thin rice flakes, black sesame seeds, curry leaves"
159,Sevai,"Sevai, parboiled rice, steamer"
160,Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds"
161,Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind"
162,Uttapam,"Chana dal, urad dal, thick poha, tomato, butter"
163,Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper"
164,Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon"
165,Upma,"Chana dal, urad dal, ginger, curry leaves, sugar"
166,Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water"
167,Zunka,"Gram flour, mustard, garlic, turmeric, red chilli"
168,Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger"
169,Saath,"Urad dal, potatoes, wheat flour, sooji"
170,Bajri no rotlo,"Wheat flour, pearl millet flour, hot water"
171,Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews"
172,Bhakri,"Jowar flour, sesame seeds"
173,Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies"
174,Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli"
175,Chevdo,"Citric acid, fry, raisins, sugar, chana daal"
176,Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt"
177,Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut"
178,Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour"
179,Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise"
180,Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind"
181,Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli"
182,Dhokla,"Rava, coconut, gram flour, mustard, sesame"
183,Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter"
184,Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour"
185,Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds"
186,Ghooghra,"Dry fruits, semolina, all purpose flour"
187,Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal"
188,Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk"
189,Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes"
190,Kansar,"Wheat flour, cashews, rapeseed oil"
191,Keri no ras,"Mango, sugar"
192,Khakhra,"Whole wheat flour, low fat, bengal gram flour"
193,Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili"
194,Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric"
195,Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted"
196,Koshimbir,"Cucumber, carrot, tomatoes, cilantro"
197,Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves"
198,Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron"
199,Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour"
200,Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli"
201,Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls"
202,Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves"
203,Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili"
204,Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic"
205,Sev tameta,"Sev, ginger, tomato, sugar"
206,Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil"
207,Sukhdi,"Whole wheat flour, gur, clarified butter"
208,Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut"
209,Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds"
210,Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas"
211,Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut"
212,Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon"
213,Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour"
214,Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt"
215,Khichu,"Rice flour, sesame seeds, baking soda, peanut oil"
216,Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour"
217,Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper"
218,Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour"
219,Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas"
220,Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur"
221,Cheera Doi,"Rice, mango, curd"
222,Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind"
223,Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds"
224,Kumol Sawul,"Rice, eggs, carrot, beetroot"
225,Luchi,"Maida, vegetable oil"
226,Alu Pitika,"Potatoes, mustard oil, fish, green chillies"
227,Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil"
228,Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander"
229,Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf"
230,Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder"
231,Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds"
232,Brown Rice,"Brown rice, soy sauce, olive oil"
233,Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion"
234,Goja,"Baking soda, clarified butter, oil, all purpose flour"
235,Hando Guri,"Jaggery, raisins"
236,Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf"
237,Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili"
238,Kabiraji,"Fish fillet, besan, lemon, mint, ginger"
239,Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil"
240,Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice"
241,Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick"
242,Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder"
243,Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato"
244,Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins"
245,Pakhala,"Curd, cooked rice, curry leaves, dry chilli"
246,Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice"
247,Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods"
248,Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar"
249,Red Rice,"Red pepper, red onion, butter, watercress, olive oil"
250,Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal"
251,Til Pitha,"Glutinous rice, black sesame seeds, gur"
252,Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour"
253,Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam"
254,Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour"
255,Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder"
