userid,foodid,rating,timestamp
19,64,2,965708037
19,65,2,965708217
19,70,2,965704974
19,87,2,965708059
19,92,2,965712048
19,102,1,965708653
19,104,2,965706185
19,107,2,965706886
19,118,3,965708217
19,135,3,965707637
19,141,1,965706592
19,153,2,965707889
19,158,3,965709785
19,161,2,965710914
19,165,3,965711413
19,170,3,965711598
19,173,1,965703997
19,185,2,965704056
19,186,2,965707724
19,196,2,965703915
19,208,2,965709832
19,216,2,965707746
19,223,3,965705917
19,231,2,965706728
19,235,4,965705784
19,252,3,965706507
19,253,3,965704952
20,2,3,1054038313
20,8,1,1054038422
20,13,4,1054038425
20,34,4,1054038093
20,48,5,1054038357
20,107,3.5,1054038320
20,158,3,1054038381
20,239,4.5,1054038398
21,1,3.5,1407618878
21,2,3.5,1419795031
21,10,5,1403459783
21,19,2.5,1419795052
21,38,2.5,1419795113
21,44,1,1376822969
21,48,3,1376822924
21,145,3,1376823315
21,165,3.5,1418846918
21,170,2,1376823399
22,107,4.5,1268330607
22,216,4,1268726081
22,253,4,1268726368
23,6,4,1107342267
23,29,4,1107341574
23,32,3.5,1107341750
23,50,4,1107163741
23,58,3,1107164183
23,175,3,1107162721
24,6,4.5,1458941767
24,32,3.5,1458942033
24,50,4,1458942023
24,165,3.5,1458941746
24,253,3.5,1458941225
25,231,4,1535470451
